tconst,V1,ID,Title,Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,IMDb_catalog_2021,IMDb_rating_2026,IMDb_ratecount_2026,imdb_title_type,Match_Confidence_Current,rating_change,IMDb_rating_2021,IMDb_ratecount_2021,rating_change_2021_2026,ratecount_change_2021_2026,n_platforms,exclusive
tt0040051,4006,4289,Studio One,1948,"",7.8/10,43/100,0,0,1,0,1,7.8,7.5,361,tvSeries,Exact (title + year),-0.3,7.8,206,-0.3,155,1,TRUE
tt0043208,2146,2187,I Love Lucy,1951,all,8.4/10,72/100,0,1,0,0,1,8.4,8.5,31069,tvSeries,Exact (title + year),0.0999999999999996,8.4,22469,0.0999999999999996,8600,1,TRUE
tt0043225,3856,4122,The Roy Rogers Show,1951,"",7.2/10,48/100,0,0,1,0,1,7.2,7.1,790,tvSeries,Exact (title + year),-0.100000000000001,7.2,625,-0.100000000000001,165,1,TRUE
tt0044269,3937,4212,I Married Joan,1952,"",7.9/10,45/100,0,0,1,0,1,7.9,7.7,441,tvSeries,Exact (title + year),-0.2,7.8,318,-0.0999999999999996,123,1,TRUE
tt0045407,4153,4448,Life with Elizabeth,1953,"",7.1/10,38/100,0,0,1,0,1,7.1,7.4,383,tvSeries,"Fuzzy (title exact, year +-1)",0.300000000000001,7.1,208,0.300000000000001,175,1,TRUE
tt0045435,4119,4412,Private Secretary,1953,"",8.0/10,40/100,0,0,1,0,1,8,7.9,235,tvSeries,Exact (title + year),-0.0999999999999996,8,153,-0.0999999999999996,82,1,TRUE
tt0046600,3712,3946,Father Knows Best,1954,all,7.4/10,54/100,0,0,1,0,1,7.4,7.4,2971,tvSeries,Exact (title + year),0,7.4,1970,0,1001,1,TRUE
tt0047708,2195,2244,Alfred Hitchcock Presents,1955,16+,8.5/10,70/100,0,1,0,0,1,8.5,8.5,20737,tvSeries,Exact (title + year),0,8.5,15194,0,5543,1,TRUE
tt0047734,3878,4146,Fury,1955,"",7.4/10,47/100,0,0,1,0,1,7.4,7.4,648,tvSeries,Exact (title + year),0,7.4,438,0,210,1,TRUE
tt0047757,5216,5558,The Mickey Mouse Club,1955,all,7.7/10,48/100,0,0,0,1,1,7.7,7.6,947,tvSeries,Exact (title + year),-0.100000000000001,7.7,667,-0.100000000000001,280,1,TRUE
tt0050002,4197,4493,The Californians,1957,"",7.3/10,38/100,0,0,1,0,1,7.3,6.7,180,tvSeries,Exact (title + year),-0.6,7.2,67,-0.5,113,1,TRUE
tt0050022,2862,2981,The Gumby Show,1955,all,7.0/10,48/100,0,1,1,0,1,7,7,1716,tvSeries,"Fuzzy (title exact, year +-1)",0,7,1404,0,312,2,FALSE
tt0050053,3788,4038,The Real McCoys,1957,16+,7.6/10,51/100,0,0,1,0,1,7.6,7.6,1477,tvSeries,Exact (title + year),0,7.5,881,0.0999999999999996,596,1,TRUE
tt0051329,3883,4153,Yancy Derringer,1958,"",7.8/10,47/100,0,0,1,0,1,7.8,7.8,552,tvSeries,Exact (title + year),0,8,310,-0.2,242,1,TRUE
