had_season_label,alt_title_script,Hours_Viewed_2023,Views_2023,Available_Globally_Ever,Available_Globally_Always,Release_Date_Earliest,n_rows_aggregated,n_distinct_seasons,base_title
FALSE,Korean,10700000,,TRUE,TRUE,2020-09-08,1,1,#Alive
FALSE,none,800000,,FALSE,FALSE,,1,1,#AnneFrank - Parallel Stories
FALSE,Latin,200000,,FALSE,FALSE,,1,1,#AtFirstSight
TRUE,none,2500000,200000,TRUE,TRUE,2020-04-17,2,1,#blackAF
FALSE,Latin,200000,,FALSE,FALSE,,1,1,#FriendButMarried 2
FALSE,Latin,200000,,FALSE,FALSE,,1,1,#FriendButMarried
FALSE,none,1800000,,FALSE,FALSE,,1,1,#LadyRancho
TRUE,Latin,27800000,600000,TRUE,TRUE,2023-02-15,2,1,#NoFilter
FALSE,none,3500000,,TRUE,TRUE,2017-09-08,1,1,#realityhigh
FALSE,none,100000,,TRUE,TRUE,,1,1,#Selfie (2014)
FALSE,none,200000,,TRUE,TRUE,,1,1,#Selfie 69
FALSE,none,1000000,,FALSE,FALSE,,1,1,'71
FALSE,none,400000,,TRUE,TRUE,2021-08-04,1,1,'76
FALSE,none,3100000,,FALSE,FALSE,,1,1,'83
FALSE,none,600000,,FALSE,FALSE,,1,1,(T)Raumschiff Surprise Periode 1
TRUE,none,4800000,400000,TRUE,TRUE,2020-08-12,2,1,(Un)Well
TRUE,none,500000,,FALSE,FALSE,,1,1,1 Kadın 1 Erkek
FALSE,none,1400000,,FALSE,FALSE,,1,1,10 Cloverfield Lane
FALSE,Latin,21700000,,TRUE,TRUE,2023-03-03,1,1,10 Days of a Good Man
FALSE,none,600000,,TRUE,TRUE,,1,1,10 Minute Workouts: Volume 1
FALSE,none,8400000,,FALSE,FALSE,,1,1,10 Minutes Gone
FALSE,Japanese,100000,,FALSE,FALSE,,1,1,10 Promises to My Dog
FALSE,Latin,100000,,FALSE,FALSE,,1,1,10 Rules for Falling in Love
FALSE,none,2600000,,FALSE,FALSE,,1,1,"10,000 B.C. (2008)"
FALSE,none,600000,,FALSE,FALSE,,1,1,100 (2008)
TRUE,Korean,21800000,500000,FALSE,FALSE,,2,1,100 Days My Prince
FALSE,Latin,300000,,FALSE,FALSE,,1,1,100 Days with Tata
TRUE,none,17700000,100000,FALSE,FALSE,,3,2,100 días para enamorarnos
TRUE,none,6200000,500000,TRUE,TRUE,2020-03-13,2,1,100 Humans
FALSE,Latin,1100000,,FALSE,FALSE,,1,1,100 Meters
FALSE,none,500000,300000,FALSE,FALSE,,2,1,100 Things to do Before High School
FALSE,Latin,300000,,FALSE,FALSE,,1,1,100 Things
FALSE,none,200000,,FALSE,FALSE,,1,1,100 Tula Para Kay Stella
FALSE,none,100000,,FALSE,FALSE,,1,1,100% Coco New York
FALSE,none,100000,,FALSE,FALSE,,1,1,100% Coco
FALSE,none,100000,,FALSE,FALSE,,1,1,100% Halal
FALSE,Latin,400000,,TRUE,TRUE,2021-12-24,1,1,1000 Miles from Christmas
FALSE,none,100000,,FALSE,FALSE,,1,1,10x10
FALSE,none,100000,,FALSE,FALSE,,1,1,11:11
FALSE,Latin,700000,,FALSE,FALSE,2022-02-23,1,1,11M: Terror in Madrid
FALSE,none,700000,,FALSE,FALSE,,1,1,12 Gifts of Christmas
FALSE,none,2300000,,FALSE,FALSE,,1,1,12 Mighty Orphans
FALSE,none,2400000,,FALSE,FALSE,,1,1,12 Monkeys (1995)
FALSE,none,13000000,,FALSE,FALSE,,1,1,12 Strong
FALSE,Japanese,100000,,FALSE,FALSE,,1,1,12 Suicidal Teens
FALSE,none,400000,,FALSE,FALSE,,1,1,12 Years a Slave
FALSE,none,100000,,FALSE,FALSE,,1,1,122
TRUE,Latin,9000000,400000,FALSE,FALSE,2019-08-30,2,1,13 Commandments
TRUE,none,2100000,200000,FALSE,FALSE,,2,1,13 DÍAS
FALSE,none,200000,,FALSE,FALSE,,1,1,13 Factors that Saved Apollo 13
FALSE,none,11300000,,FALSE,FALSE,,1,1,13 Going on 30
FALSE,none,300000,,FALSE,FALSE,,1,1,13 Hours that Saved Britain
FALSE,none,17600000,,FALSE,FALSE,,1,1,13 Hours: The Secret Soldiers of Benghazi
FALSE,none,600000,,FALSE,FALSE,,1,1,13 Minutes
TRUE,none,400000,500000,TRUE,TRUE,2017-03-31,4,2,13 Reasons Why: Beyond the Reasons
TRUE,none,149500000,5800000,TRUE,TRUE,2017-03-31,8,4,13 Reasons Why
FALSE,none,1600000,,TRUE,TRUE,2021-12-15,1,1,137 Shots
FALSE,Thai,100000,,FALSE,FALSE,,1,1,13: Game of Death
FALSE,none,3100000,,TRUE,TRUE,2022-08-12,1,1,13: The Musical
FALSE,none,400000,,TRUE,TRUE,2016-10-07,1,1,13TH
FALSE,Chinese_or_Kanji,700000,,FALSE,FALSE,,1,1,14 Blades
FALSE,none,3700000,,TRUE,TRUE,2021-11-29,1,1,14 Peaks: Nothing Is Impossible
FALSE,none,11000000,,FALSE,FALSE,,1,1,1408
FALSE,none,100000,,TRUE,TRUE,2019-03-29,1,1,15 August
FALSE,none,100000,,FALSE,FALSE,,1,1,15 Minutes (2001)
TRUE,none,13100000,2900000,TRUE,TRUE,2023-12-13,1,1,1670
TRUE,Japanese,300000,100000,FALSE,FALSE,,1,1,16bit Sensation: Another Layer
FALSE,none,3000000,,FALSE,FALSE,,1,1,17 Again
TRUE,none,1500000,300000,FALSE,FALSE,,1,1,17.3 About a Sex
TRUE,Korean,14900000,200000,FALSE,FALSE,,2,1,18 Again
FALSE,none,4200000,,FALSE,FALSE,,1,1,18 Pages
FALSE,Latin,900000,,FALSE,FALSE,2020-05-08,1,1,18 Presents
TRUE,Japanese,700000,200000,FALSE,FALSE,,1,1,"18-sai, Niizuma, Furin Shimasu"
TRUE,none,72400000,2800000,TRUE,TRUE,2022-11-17,2,1,1899
TRUE,none,6300000,300000,FALSE,FALSE,,6,3,19-2 (2011)
FALSE,none,3800000,,FALSE,FALSE,,1,1,1917
FALSE,none,8700000,,TRUE,TRUE,2017-10-20,1,1,1922
FALSE,none,400000,,FALSE,FALSE,,1,1,1939 (1989)
FALSE,none,1700000,,FALSE,FALSE,,1,1,1976
FALSE,none,100000,,FALSE,FALSE,,1,1,1981
TRUE,none,3100000,200000,TRUE,TRUE,2018-11-30,2,1,1983
FALSE,Latin,400000,,FALSE,FALSE,,1,1,1987: When the Day Comes
FALSE,none,100000,,FALSE,FALSE,,1,1,1987
TRUE,none,1600000,200000,TRUE,TRUE,2019-05-17,2,1,1994
FALSE,none,100000,,FALSE,FALSE,,1,1,2 Coelhos
FALSE,none,10800000,100000,FALSE,FALSE,,2,1,2 Good 2 Be True
FALSE,none,37100000,,FALSE,FALSE,,1,1,2 Guns
FALSE,none,50000000,,FALSE,FALSE,,1,1,2 Hearts
FALSE,Latin,300000,,FALSE,FALSE,,1,1,2 Soliti Idioti
FALSE,none,400000,,FALSE,FALSE,,1,1,2 Weeks in Lagos
TRUE,Japanese,100000,,FALSE,FALSE,,1,1,2.43: Seiin High School Boys Volleyball Team
FALSE,none,700000,100000,TRUE,TRUE,,2,1,20 Minute Workouts: Volume 1
FALSE,Arabic,100000,,FALSE,FALSE,,1,1,200 Meters
FALSE,Korean,700000,,FALSE,FALSE,,1,1,200 Pounds Beauty
FALSE,none,18200000,,FALSE,FALSE,,1,1,2012
FALSE,Korean,100000,,FALSE,FALSE,,1,1,2020 Trot Awards
TRUE,Arabic,1400000,,FALSE,FALSE,,1,1,2020
FALSE,none,100000,,FALSE,FALSE,,1,1,2067
FALSE,Korean,11900000,,TRUE,TRUE,2022-10-21,1,1,20th Century Girl
FALSE,none,2000000,,FALSE,FALSE,,1,1,21 & Over
FALSE,none,11100000,,FALSE,FALSE,,1,1,21 (2008)
FALSE,none,2400000,,FALSE,FALSE,2020-07-24,1,1,21 Bridges
FALSE,none,100000,,FALSE,FALSE,,1,1,21 Grams
FALSE,none,16200000,,FALSE,FALSE,,1,1,21 Jump Street (2012)
FALSE,none,2600000,,FALSE,FALSE,,1,1,211
FALSE,Latin,200000,,FALSE,FALSE,,1,1,212 Warrior
FALSE,Latin,200000,,FALSE,FALSE,,1,1,22 Bullets
FALSE,none,6900000,,TRUE,TRUE,2018-10-10,1,1,22 July
FALSE,none,800000,,FALSE,FALSE,,1,1,22 Jump Street
FALSE,none,1100000,,FALSE,FALSE,,1,1,23 Walks
TRUE,none,4700000,100000,FALSE,FALSE,,7,6,24 Hours in A&E
FALSE,none,1100000,,FALSE,FALSE,,1,1,24 Hours to Live
FALSE,none,300000,,FALSE,FALSE,,1,1,25 KM/H
FALSE,Korean,100000,,FALSE,FALSE,,1,1,26 Years
FALSE,none,300000,,FALSE,FALSE,,1,1,27: Gone Too Soon
TRUE,none,16100000,1400000,TRUE,TRUE,2022-10-21,2,1,28 Days Haunted
FALSE,none,4400000,,FALSE,FALSE,,1,1,28 Days
TRUE,Thai,2000000,,FALSE,FALSE,,1,1,2gether The Series
FALSE,Latin,100000,,FALSE,FALSE,,1,1,3 Days to Forever
FALSE,none,100000,,FALSE,FALSE,,1,1,3 Days to Kill
FALSE,none,700000,,FALSE,FALSE,,1,1,3 From Hell
FALSE,none,1800000,,FALSE,FALSE,,1,1,3 idiotas
FALSE,Devanagari,2700000,,TRUE,TRUE,,1,1,3 Idiots
FALSE,none,1100000,,FALSE,FALSE,,1,1,3 Ninjas: Kick Back
FALSE,none,100000,,FALSE,FALSE,,1,1,3 ½ Stunden
TRUE,none,30000000,2100000,TRUE,TRUE,2016-11-24,8,4,3%
FALSE,none,5100000,,FALSE,FALSE,,1,1,30 Days of Night
