title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_seasons_aggregated,tconst,imdb_title_type,rotten_tomatoes_numeric,log_hours_viewed_2023,log_imdb_ratecount_2021
Star Trek,1966,7+,8.3,82/100,1,1,0,3,FALSE,75379,21600000,400000,FALSE,FALSE,,6,tt0060028,tvSeries,82,16.8882039189507,11.2302972668211
Monty Python's Flying Circus,1969,16+,8.8,81/100,0,0,0,1,TRUE,68780,1700000,100000,TRUE,TRUE,,5,tt0063929,tvSeries,81,14.3461393972616,11.1386828229908
Danger Mouse,1981,7+,7.4,54/100,0,0,0,1,TRUE,3236,2900000,300000,FALSE,FALSE,2016-04-29,4,tt0081848,tvSeries,54,14.8802216397842,8.08240225392624
Star Trek: The Next Generation,1987,7+,8.6,86/100,1,1,0,3,FALSE,104632,70100000,1500000,FALSE,FALSE,,14,tt0092455,tvSeries,86,18.0654333662702,11.5582142684289
Star Trek: Deep Space Nine,1993,7+,8,80/100,1,1,0,3,FALSE,54886,45800000,1300000,FALSE,FALSE,,14,tt0106145,tvSeries,80,17.6397946709185,10.9130318052862
Heartbreak High,1994,7+,7.8,51/100,0,0,0,1,TRUE,2826,39800000,1800000,TRUE,TRUE,2022-09-14,2,tt0108800,tvSeries,51,17.4993774953803,7.94697135769359
The Magic School Bus,1994,all,7.8,62/100,0,0,0,1,TRUE,8586,11000000,800000,FALSE,FALSE,,2,tt0108847,tvSeries,62,16.2134059216717,9.05800471067248
"Sister, Sister",1994,7+,6.3,59/100,1,0,0,2,FALSE,11551,36300000,1500000,FALSE,FALSE,,12,tt0108927,tvSeries,59,17.4073283267833,9.35461386113261
Neon Genesis Evangelion,1995,16+,8.5,82/100,0,0,0,1,TRUE,54195,17600000,900000,TRUE,TRUE,,2,tt0112159,tvSeries,82,16.6834095168266,10.9003623839663
Star Trek: Voyager,1995,7+,7.8,78/100,1,1,0,3,FALSE,61077,71600000,1800000,FALSE,FALSE,,14,tt0112178,tvSeries,78,18.0866056458974,11.0199070148541
Moesha,1996,7+,5.8,50/100,1,0,0,2,FALSE,3357,12100000,400000,FALSE,FALSE,,10,tt0115275,tvSeries,50,16.3087160932116,8.11910083763749
Popples,1986,all,6.5,39/100,0,0,0,1,TRUE,209,1100000,,TRUE,TRUE,2015-10-30,3,tt0174420,tvSeries,39,13.9108216468591,5.34710753071747
The Parkers,1999,7+,6.9,48/100,0,0,0,1,TRUE,2028,50100000,3400000,FALSE,FALSE,,10,tt0200353,tvSeries,48,17.7295315860152,7.61529833982582
Gilmore Girls,2000,16+,8.1,84/100,0,0,0,1,TRUE,105104,1200500000,45100000,TRUE,TRUE,,14,tt0238784,tvSeries,84,20.9060039744586,11.5627151294727
Star Trek: Enterprise,2001,7+,7.5,76/100,1,1,0,3,FALSE,47588,41800000,1300000,FALSE,FALSE,,8,tt0244365,tvSeries,76,17.5484069214184,10.7703569210766
Still Game,2002,16+,8.8,61/100,0,0,0,1,TRUE,6473,37100000,5900000,FALSE,FALSE,,18,tt0281491,tvSeries,61,17.4291275545318,8.77554943448619
One on One,2001,16+,7.2,54/100,0,1,0,2,FALSE,2004,14100000,700000,FALSE,FALSE,,10,tt0284770,tvSeries,54,16.4616854262704,7.60339933974067
Okupas,2000,18+,9.1,52/100,0,0,0,1,TRUE,964,2900000,200000,FALSE,FALSE,,2,tt0289649,tvMiniSeries,52,14.8802216397842,6.87212810133899
InuYasha,2000,16+,7.9,69/100,1,0,0,2,FALSE,14947,92300000,1500000,FALSE,FALSE,,12,tt0290223,tvSeries,69,18.3405547103073,9.61233279060538
Trailer Park Boys,2001,18+,8.5,71/100,0,0,0,1,TRUE,38386,143700000,18900000,TRUE,TRUE,2010-09-22,24,tt0290988,tvSeries,71,18.7832383580082,10.555474139591
