title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_distinct_seasons,tconst,imdb_title_type
Star Trek,1966,7+,8.3,82/100,1,1,0,3,FALSE,75379,21600000,400000,FALSE,FALSE,,3,tt0060028,tvSeries
Monty Python's Flying Circus,1969,16+,8.8,81/100,0,0,0,1,TRUE,68780,1700000,100000,TRUE,TRUE,,4,tt0063929,tvSeries
Danger Mouse,1981,7+,7.4,54/100,0,0,0,1,TRUE,3236,2900000,300000,FALSE,FALSE,2016-04-29,2,tt0081848,tvSeries
Star Trek: The Next Generation,1987,7+,8.6,86/100,1,1,0,3,FALSE,104632,70100000,1500000,FALSE,FALSE,,7,tt0092455,tvSeries
Star Trek: Deep Space Nine,1993,7+,8,80/100,1,1,0,3,FALSE,54886,45800000,1300000,FALSE,FALSE,,7,tt0106145,tvSeries
Heartbreak High,1994,7+,7.8,51/100,0,0,0,1,TRUE,2826,39800000,1800000,TRUE,TRUE,2022-09-14,1,tt0108800,tvSeries
The Magic School Bus,1994,all,7.8,62/100,0,0,0,1,TRUE,8586,11000000,800000,FALSE,FALSE,,1,tt0108847,tvSeries
"Sister, Sister",1994,7+,6.3,59/100,1,0,0,2,FALSE,11551,36300000,1500000,FALSE,FALSE,,6,tt0108927,tvSeries
Neon Genesis Evangelion,1995,16+,8.5,82/100,0,0,0,1,TRUE,54195,17600000,900000,TRUE,TRUE,,1,tt0112159,tvSeries
Star Trek: Voyager,1995,7+,7.8,78/100,1,1,0,3,FALSE,61077,71600000,1800000,FALSE,FALSE,,7,tt0112178,tvSeries
Moesha,1996,7+,5.8,50/100,1,0,0,2,FALSE,3357,12100000,400000,FALSE,FALSE,,6,tt0115275,tvSeries
Popples,1986,all,6.5,39/100,0,0,0,1,TRUE,209,1100000,,TRUE,TRUE,2015-10-30,3,tt0174420,tvSeries
The Parkers,1999,7+,6.9,48/100,0,0,0,1,TRUE,2028,50100000,3400000,FALSE,FALSE,,5,tt0200353,tvSeries
Gilmore Girls,2000,16+,8.1,84/100,0,0,0,1,TRUE,105104,1200500000,45100000,TRUE,TRUE,,7,tt0238784,tvSeries
Star Trek: Enterprise,2001,7+,7.5,76/100,1,1,0,3,FALSE,47588,41800000,1300000,FALSE,FALSE,,4,tt0244365,tvSeries
Still Game,2002,16+,8.8,61/100,0,0,0,1,TRUE,6473,37100000,5900000,FALSE,FALSE,,9,tt0281491,tvSeries
One on One,2001,16+,7.2,54/100,0,1,0,2,FALSE,2004,14100000,700000,FALSE,FALSE,,5,tt0284770,tvSeries
Okupas,2000,18+,9.1,52/100,0,0,0,1,TRUE,964,2900000,200000,FALSE,FALSE,,1,tt0289649,tvMiniSeries
InuYasha,2000,16+,7.9,69/100,1,0,0,2,FALSE,14947,92300000,1500000,FALSE,FALSE,,6,tt0290223,tvSeries
Trailer Park Boys,2001,18+,8.5,71/100,0,0,0,1,TRUE,38386,143700000,18900000,TRUE,TRUE,2010-09-22,12,tt0290988,tvSeries
Half & Half,2002,7+,7.1,51/100,0,0,0,1,TRUE,1541,11400000,600000,FALSE,FALSE,,4,tt0320024,tvSeries
Chappelle's Show,2003,18+,8.7,83/100,0,0,0,1,TRUE,56797,12500000,1400000,FALSE,FALSE,,2,tt0353049,tvSeries
NCIS,2003,16+,7.7,81/100,0,0,0,1,TRUE,123588,595200000,16700000,FALSE,FALSE,,15,tt0364845,tvSeries
Arrested Development,2003,16+,8.7,87/100,1,0,0,2,FALSE,281893,73900000,4800000,FALSE,FALSE,2010-04-01,4,tt0367279,tvSeries
Sonic X,2003,16+,6.2,57/100,1,1,0,3,FALSE,3898,22900000,900000,TRUE,TRUE,,2,tt0367413,tvSeries
One Piece,1999,7+,8.8,85/100,1,0,0,2,FALSE,77850,682200000,42700000,FALSE,FALSE,,1,tt0388629,tvSeries
The Staircase,2005,16+,7.9,74/100,0,0,0,1,TRUE,19786,9100000,400000,TRUE,TRUE,2018-06-08,1,tt0388644,tvSeries
Naruto,2002,7+,8.3,81/100,1,0,0,2,FALSE,76916,255600000,11700000,FALSE,FALSE,,9,tt0409591,tvSeries
Grey's Anatomy,2005,16+,7.5,87/100,1,0,0,2,FALSE,261413,1346800000,50700000,FALSE,FALSE,,19,tt0413573,tvSeries
Code Lyoko,2003,7+,7.3,57/100,0,0,0,1,TRUE,4708,1600000,,TRUE,FALSE,,4,tt0417311,tvSeries
Fullmetal Alchemist,2003,16+,8.5,73/100,0,0,0,1,TRUE,64098,800000,,FALSE,FALSE,,1,tt0421357,tvSeries
Winx Club,2004,all,6.2,57/100,0,0,0,1,TRUE,4595,11600000,400000,FALSE,FALSE,,3,tt0421482,tvSeries
