V1,ID,Title,Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,IMDb_catalog_2021,tconst,IMDb_current,IMDb_ratecount_current,imdb_title_type,Match_Confidence_Current,rating_change
0,1,Breaking Bad,2008,18+,9.4/10,100/100,1,0,0,0,1,9.4,tt0903747,9.5,2652911,tvSeries,Exact (title + year),0.0999999999999996
1,2,Stranger Things,2016,16+,8.7/10,96/100,1,0,0,0,1,8.7,tt4574334,8.6,1724245,tvSeries,Exact (title + year),-0.0999999999999996
2,3,Attack on Titan,2013,18+,9.0/10,95/100,1,1,0,0,1,9,tt2560140,9.1,735184,tvSeries,Exact (title + year),0.0999999999999996
3,4,Better Call Saul,2015,18+,8.8/10,94/100,1,0,0,0,1,8.8,tt3032476,9,852567,tvSeries,Exact (title + year),0.199999999999999
4,5,Dark,2017,16+,8.8/10,93/100,1,0,0,0,1,8.8,tt5753856,8.7,555848,tvSeries,Exact (title + year),-0.100000000000001
5,6,Avatar: The Last Airbender,2005,7+,9.3/10,93/100,1,0,1,0,1,9.3,tt0417299,9.3,450861,tvSeries,Exact (title + year),0
6,7,Peaky Blinders,2013,18+,8.8/10,93/100,1,0,0,0,1,8.8,tt2442560,8.7,786389,tvSeries,Exact (title + year),-0.100000000000001
7,8,The Walking Dead,2010,18+,8.2/10,93/100,1,0,0,0,1,8.2,tt1520211,8.1,1206774,tvSeries,Exact (title + year),-0.0999999999999996
8,9,Black Mirror,2011,18+,8.8/10,92/100,1,0,0,0,1,8.8,tt2085059,8.7,744343,tvSeries,Exact (title + year),-0.100000000000001
9,10,The Queen's Gambit,2020,18+,8.6/10,92/100,1,0,0,0,1,8.6,tt10048342,8.5,672632,tvMiniSeries,Exact (title + year),-0.0999999999999996
10,11,Mindhunter,2017,18+,8.6/10,90/100,1,0,0,0,1,8.6,tt5290382,8.6,402201,tvSeries,Exact (title + year),0
11,12,Community,2009,7+,8.5/10,90/100,1,1,1,0,1,8.5,tt1439629,8.5,313027,tvSeries,Exact (title + year),0
12,13,Narcos,2015,18+,8.8/10,90/100,1,0,0,0,1,8.8,tt2707408,8.7,532830,tvSeries,Exact (title + year),-0.100000000000001
13,14,Shameless,2011,18+,8.5/10,90/100,1,1,1,0,1,8.5,tt1586680,8.5,336317,tvSeries,Exact (title + year),0
14,15,Money Heist,2017,18+,8.3/10,90/100,1,0,0,0,1,8.3,tt6468322,8.2,614638,tvSeries,Exact (title + year),-0.100000000000001
15,16,Marvel's Daredevil,2015,18+,8.6/10,90/100,1,0,0,0,1,8.6,tt3322312,8.6,537710,tvSeries,"Fuzzy (prefix stripped, exact year)",0
16,17,Lucifer,2016,16+,8.1/10,90/100,1,0,0,0,1,8.1,tt4052886,8,395602,tvSeries,Exact (title + year),-0.0999999999999996
17,18,Supernatural,2005,16+,8.4/10,89/100,1,0,0,0,1,8.4,tt0460681,8.4,544688,tvSeries,Exact (title + year),0
18,19,The Witcher,2019,18+,8.2/10,89/100,1,0,0,0,1,8.2,tt5180504,7.8,622828,tvSeries,Exact (title + year),-0.399999999999999
19,20,Ozark,2017,18+,8.4/10,89/100,1,0,0,0,1,8.4,tt5071412,8.4,396146,tvSeries,Exact (title + year),0
20,21,The Crown,2016,18+,8.6/10,89/100,1,0,0,0,1,8.6,tt4786824,8.6,283229,tvSeries,Exact (title + year),0
21,22,Cobra Kai,2018,16+,8.6/10,89/100,1,0,0,0,1,8.6,tt7221388,8.4,245174,tvSeries,Exact (title + year),-0.199999999999999
22,23,The Blacklist,2013,16+,8.0/10,88/100,1,0,0,0,1,8,tt2741602,7.9,302611,tvSeries,Exact (title + year),-0.0999999999999996
